نوع الحادث,زمن الحادث,تاريخ الحادث,محافظة الحادث,مدينة الحادث,زمن الانقاذ و حل المشكله
حريق في السيارة,09:29,2024-02-12,Cairo,Nasr City,214 دقيقة
سقوط من ارتفاع,16:57,2022-06-22,Sharqia,Faqus,182 دقيقة
دهس مشاة,19:39,2023-08-11,Cairo,Maadi,122 دقيقة
سقوط من ارتفاع,18:08,2024-07-26,Luxor,Qurna,188 دقيقة
سقوط من ارتفاع,17:12,2022-07-31,Sohag,Akhmim,115 دقيقة
حريق في السيارة,18:20,2024-03-12,Sohag,Akhmim,119 دقيقة
تصادم سيارات,09:04,2022-11-17,Cairo,Maadi,18 دقيقة
حريق في السيارة,19:57,2022-04-15,Minya,Samalut,226 دقيقة
دهس مشاة,18:13,2024-03-24,Dakahlia,Talkha,234 دقيقة
انقلاب مركبة,16:16,2023-08-28,Giza,Haram,121 دقيقة
غرق مركبة,18:25,2023-01-17,Minya,Samalut,237 دقيقة
سقوط من ارتفاع,16:40,2022-09-29,Monufia,Berket El Sabaa,204 دقيقة
عطل فني,02:19,2023-12-15,Beheira,Abu Hummus,132 دقيقة
تصادم سيارات,07:35,2024-02-18,Aswan,Edfu,204 دقيقة
عطل فني,07:31,2022-03-06,Aswan,Nasr Nubia,105 دقيقة
غرق مركبة,19:18,2023-11-14,Aswan,Kom Ombo,133 دقيقة
حريق في السيارة,13:01,2022-01-12,Minya,Samalut,46 دقيقة
حادث دراجة نارية,13:53,2024-01-16,Qalyubia,Qalyub,153 دقيقة
سقوط من ارتفاع,09:50,2024-11-24,Alexandria,Glim,86 دقيقة
حريق في السيارة,01:57,2022-02-25,Beheira,Kafr El Dawar,84 دقيقة
عطل فني,13:01,2022-11-27,Minya,Deir Mawas,21 دقيقة
ازدحام مروري,08:26,2022-05-01,Aswan,Edfu,199 دقيقة
تصادم سيارات,02:47,2022-10-17,Sharqia,Bilbeis,197 دقيقة
تصادم مع حيوان,05:07,2024-02-03,Dakahlia,Mansoura,112 دقيقة
حريق في السيارة,19:49,2023-07-20,Cairo,Heliopolis,174 دقيقة
حادث دراجة نارية,14:24,2024-01-28,Alexandria,Smouha,122 دقيقة
حادث دراجة نارية,10:48,2024-09-28,Assiut,Abnoub,27 دقيقة
عطل فني,17:39,2024-05-14,Monufia,Quesna,188 دقيقة
عطل فني,16:05,2023-01-17,Aswan,Kom Ombo,122 دقيقة
انقلاب مركبة,00:54,2024-09-11,Ismailia,First District,46 دقيقة
عطل فني,14:46,2023-09-14,Cairo,Zeitoun,225 دقيقة
تصادم سيارات,05:24,2024-04-01,Giza,Faisal,109 دقيقة
تصادم مع حيوان,19:41,2023-02-17,Sohag,Girga,106 دقيقة
حادث دراجة نارية,23:36,2023-04-25,Sohag,Akhmim,157 دقيقة
دهس مشاة,21:41,2023-04-20,Qalyubia,Banha,206 دقيقة
تصادم مع حيوان,08:56,2022-06-14,Dakahlia,Dikirnis,52 دقيقة
ازدحام مروري,06:09,2024-09-01,Port Said,Dawahi,143 دقيقة
انقلاب مركبة,09:26,2024-04-11,Cairo,Zeitoun,52 دقيقة
ازدحام مروري,16:35,2022-07-10,Port Said,Dawahi,133 دقيقة
تصادم سيارات,16:22,2024-01-22,Alexandria,Smouha,118 دقيقة
دهس مشاة,19:54,2024-03-06,Minya,Deir Mawas,55 دقيقة
تصادم سيارات,18:57,2024-02-03,Aswan,Kom Ombo,55 دقيقة
تصادم مع حيوان,19:44,2022-08-01,Qalyubia,Shibin El Qanater,175 دقيقة
ازدحام مروري,08:28,2022-11-25,Giza,Imbaba,219 دقيقة
سقوط من ارتفاع,09:42,2023-09-07,Sohag,Tahta,135 دقيقة
غرق مركبة,07:57,2024-04-21,Cairo,Maadi,87 دقيقة
عطل فني,17:56,2022-04-19,Dakahlia,Talkha,214 دقيقة
عطل فني,05:08,2024-06-13,Qalyubia,Shibin El Qanater,219 دقيقة
حريق في السيارة,09:23,2023-01-23,Luxor,Armant,172 دقيقة
تصادم سيارات,08:00,2024-08-19,Alexandria,Glim,230 دقيقة
سقوط من ارتفاع,15:15,2022-01-18,Dakahlia,Dikirnis,160 دقيقة
دهس مشاة,09:12,2023-04-29,Aswan,Edfu,164 دقيقة
عطل فني,16:25,2023-04-02,Cairo,Zeitoun,30 دقيقة
تصادم سيارات,02:30,2024-06-19,Minya,Mallawi,124 دقيقة
تصادم مع حيوان,22:29,2022-08-30,Minya,Beni Mazar,129 دقيقة
حريق في السيارة,12:29,2023-10-21,Luxor,Armant,176 دقيقة
دهس مشاة,09:04,2023-05-13,Beheira,Damanhour,156 دقيقة
انقلاب مركبة,07:53,2022-03-02,Qalyubia,Qalyub,137 دقيقة
ازدحام مروري,17:05,2022-06-21,Sohag,Sohag First,76 دقيقة
حريق في السيارة,07:36,2022-06-08,Beheira,Damanhour,157 دقيقة
ازدحام مروري,08:26,2022-03-31,Assiut,Abnoub,206 دقيقة
حريق في السيارة,03:05,2024-04-23,Giza,Faisal,159 دقيقة
عطل فني,14:55,2023-03-26,Cairo,Gesr El Suez,111 دقيقة
سقوط من ارتفاع,18:39,2023-01-15,Cairo,Nasr City,199 دقيقة
دهس مشاة,07:04,2024-05-23,Alexandria,Montazah,236 دقيقة
حريق في السيارة,21:10,2024-01-28,Giza,Faisal,214 دقيقة
حريق في السيارة,12:15,2024-03-11,Cairo,Maadi,143 دقيقة
عطل فني,08:02,2022-06-22,Sharqia,Kafr Saqr,191 دقيقة
انقلاب مركبة,08:21,2022-02-01,Assiut,Manfalout,190 دقيقة
حريق في السيارة,08:15,2022-07-07,Qalyubia,Shibin El Qanater,112 دقيقة
تصادم مع حيوان,09:27,2023-07-20,Giza,Agouza,164 دقيقة
دهس مشاة,23:49,2023-06-16,Aswan,Kom Ombo,16 دقيقة
دهس مشاة,00:39,2024-09-16,Monufia,Berket El Sabaa,99 دقيقة
دهس مشاة,17:00,2024-07-20,Port Said,Sharq,93 دقيقة
تصادم مع حيوان,10:47,2022-07-04,Dakahlia,Talkha,54 دقيقة
غرق مركبة,14:03,2024-03-10,Qalyubia,Banha,11 دقيقة
تصادم سيارات,11:42,2023-04-13,Dakahlia,Dikirnis,112 دقيقة
تصادم مع حيوان,16:29,2022-02-12,Ismailia,Arbaeen,204 دقيقة
تصادم سيارات,18:58,2024-10-18,Minya,Mallawi,225 دقيقة
حادث دراجة نارية,18:58,2023-06-18,Monufia,Menouf,57 دقيقة
انقلاب مركبة,07:18,2023-01-27,Qalyubia,Banha,63 دقيقة
تصادم مع حيوان,17:39,2023-10-22,Luxor,Qurna,224 دقيقة
سقوط من ارتفاع,09:01,2022-10-01,Monufia,Bagour,78 دقيقة
حادث دراجة نارية,19:02,2024-01-31,Port Said,Dawahi,30 دقيقة
حريق في السيارة,22:09,2023-04-09,Qalyubia,Toukh,166 دقيقة
دهس مشاة,09:01,2024-09-24,Aswan,Edfu,161 دقيقة
تصادم سيارات,17:47,2022-12-23,Cairo,Gesr El Suez,150 دقيقة
حادث دراجة نارية,17:34,2023-06-04,Beheira,Edku,58 دقيقة
حريق في السيارة,17:19,2023-03-14,Sohag,Akhmim,97 دقيقة
سقوط من ارتفاع,08:13,2023-02-11,Aswan,Kom Ombo,20 دقيقة
سقوط من ارتفاع,22:00,2023-05-15,Sharqia,Kafr Saqr,15 دقيقة
انقلاب مركبة,16:27,2023-06-17,Cairo,Heliopolis,239 دقيقة
انقلاب مركبة,17:49,2023-04-11,Dakahlia,Mansoura,180 دقيقة
سقوط من ارتفاع,17:58,2023-05-14,Monufia,Shebin El Kom,124 دقيقة
تصادم مع حيوان,16:13,2023-09-06,Luxor,Armant,27 دقيقة
حريق في السيارة,09:33,2022-06-01,Dakahlia,Dikirnis,58 دقيقة
حريق في السيارة,19:00,2023-08-23,Cairo,Heliopolis,105 دقيقة
انقلاب مركبة,16:20,2022-08-10,Monufia,Berket El Sabaa,45 دقيقة
تصادم مع حيوان,10:57,2023-02-10,Cairo,Shubra,226 دقيقة
انقلاب مركبة,11:14,2022-04-17,Cairo,Shubra,209 دقيقة
سقوط من ارتفاع,19:43,2022-11-07,Ismailia,Arbaeen,230 دقيقة
غرق مركبة,16:42,2024-10-21,Sharqia,Minya Al Qamh,208 دقيقة
دهس مشاة,22:03,2024-01-30,Ismailia,Sheikh Zayed,91 دقيقة
عطل فني,07:53,2023-03-04,Sharqia,Bilbeis,179 دقيقة
ازدحام مروري,19:49,2024-03-07,Giza,Agouza,207 دقيقة
غرق مركبة,11:51,2022-09-20,Assiut,Dayrout,16 دقيقة
حريق في السيارة,06:19,2022-08-11,Alexandria,Sidi Gaber,88 دقيقة
غرق مركبة,19:32,2023-09-12,Luxor,Qurna,166 دقيقة
ازدحام مروري,09:49,2022-07-02,Sharqia,Kafr Saqr,47 دقيقة
انقلاب مركبة,06:31,2024-08-16,Qalyubia,Qalyub,97 دقيقة
عطل فني,20:25,2024-06-24,Qalyubia,Qalyub,235 دقيقة
تصادم مع حيوان,18:34,2024-10-06,Giza,Haram,113 دقيقة
حادث دراجة نارية,05:09,2022-06-26,Dakahlia,Mansoura,51 دقيقة
حادث دراجة نارية,11:53,2024-08-02,Sharqia,Abu Kabir,124 دقيقة
تصادم سيارات,08:28,2022-06-18,Aswan,Nasr Nubia,72 دقيقة
دهس مشاة,19:36,2022-05-18,Luxor,Luxor First,151 دقيقة
ازدحام مروري,16:34,2024-11-10,Cairo,Heliopolis,184 دقيقة
ازدحام مروري,18:14,2024-07-29,Ismailia,Qantara Sharq,185 دقيقة
غرق مركبة,18:36,2023-10-03,Dakahlia,Bilqas,147 دقيقة
ازدحام مروري,01:26,2023-01-02,Aswan,Edfu,89 دقيقة
ازدحام مروري,16:20,2022-10-09,Giza,Haram,73 دقيقة
عطل فني,08:00,2023-09-12,Qalyubia,Shibin El Qanater,38 دقيقة
تصادم سيارات,03:46,2024-05-15,Minya,Mallawi,225 دقيقة
سقوط من ارتفاع,07:38,2023-10-29,Cairo,Shubra,112 دقيقة
دهس مشاة,05:15,2023-06-26,Minya,Beni Mazar,151 دقيقة
ازدحام مروري,07:32,2022-01-16,Luxor,Luxor First,78 دقيقة
دهس مشاة,07:10,2022-12-15,Port Said,Arab,95 دقيقة
تصادم مع حيوان,08:59,2024-11-02,Qalyubia,Toukh,94 دقيقة
انقلاب مركبة,04:38,2024-10-29,Minya,Deir Mawas,55 دقيقة
عطل فني,16:56,2022-07-12,Aswan,Nasr Nubia,217 دقيقة
عطل فني,19:25,2024-07-12,Assiut,Dayrout,72 دقيقة
تصادم سيارات,15:50,2022-03-28,Sohag,Tahta,24 دقيقة
سقوط من ارتفاع,16:25,2023-03-04,Assiut,Assiut First,70 دقيقة
عطل فني,15:38,2022-05-26,Dakahlia,Mansoura,19 دقيقة
حادث دراجة نارية,08:07,2023-08-17,Sharqia,Kafr Saqr,88 دقيقة
دهس مشاة,05:33,2024-12-31,Alexandria,Miami,193 دقيقة
عطل فني,18:13,2024-11-16,Assiut,Dayrout,92 دقيقة
تصادم سيارات,07:43,2024-10-07,Sohag,Sohag First,175 دقيقة
انقلاب مركبة,09:30,2023-02-28,Ismailia,Qantara Sharq,122 دقيقة
حريق في السيارة,18:20,2022-10-14,Sohag,Maragha,100 دقيقة
سقوط من ارتفاع,22:17,2023-03-27,Monufia,Shebin El Kom,62 دقيقة
ازدحام مروري,17:34,2024-06-16,Sohag,Girga,152 دقيقة
دهس مشاة,09:11,2022-11-26,Giza,Faisal,224 دقيقة
غرق مركبة,08:28,2024-01-30,Monufia,Bagour,206 دقيقة
تصادم سيارات,18:55,2024-07-28,Minya,Mallawi,133 دقيقة
انقلاب مركبة,07:47,2023-07-30,Luxor,Luxor First,201 دقيقة
انقلاب مركبة,16:56,2023-03-16,Dakahlia,Bilqas,151 دقيقة
غرق مركبة,16:55,2022-04-14,Alexandria,Smouha,117 دقيقة
سقوط من ارتفاع,16:31,2024-02-05,Aswan,Aswan First,45 دقيقة
حادث دراجة نارية,18:57,2024-03-28,Cairo,Nasr City,114 دقيقة
سقوط من ارتفاع,17:20,2022-07-27,Dakahlia,Mit Ghamr,104 دقيقة
انقلاب مركبة,16:05,2024-09-05,Monufia,Menouf,36 دقيقة
غرق مركبة,09:09,2022-07-14,Sharqia,Kafr Saqr,115 دقيقة
انقلاب مركبة,07:51,2023-10-16,Dakahlia,Bilqas,15 دقيقة
غرق مركبة,12:28,2022-04-14,Minya,Beni Mazar,157 دقيقة
تصادم مع حيوان,03:41,2023-12-11,Beheira,Damanhour,215 دقيقة
غرق مركبة,12:50,2024-10-14,Qalyubia,Toukh,145 دقيقة
تصادم مع حيوان,04:55,2024-08-24,Qalyubia,Banha,68 دقيقة
انقلاب مركبة,07:29,2024-06-28,Dakahlia,Mit Ghamr,74 دقيقة
غرق مركبة,15:07,2024-02-27,Minya,Maghaghah,147 دقيقة
دهس مشاة,01:42,2024-02-15,Ismailia,Arbaeen,107 دقيقة
تصادم مع حيوان,00:44,2024-06-17,Qalyubia,Khanka,101 دقيقة
تصادم سيارات,20:24,2024-12-28,Ismailia,First District,11 دقيقة
دهس مشاة,03:14,2022-02-28,Dakahlia,Mit Ghamr,229 دقيقة
دهس مشاة,17:52,2023-06-15,Monufia,Menouf,89 دقيقة
دهس مشاة,08:52,2022-05-18,Dakahlia,Mansoura,146 دقيقة
حادث دراجة نارية,08:38,2024-04-11,Ismailia,Qantara Sharq,48 دقيقة
حريق في السيارة,16:02,2022-04-11,Monufia,Shebin El Kom,57 دقيقة
دهس مشاة,21:58,2023-09-05,Giza,Dokki,15 دقيقة
ازدحام مروري,08:02,2022-10-13,Qalyubia,Toukh,15 دقيقة
تصادم مع حيوان,09:52,2023-05-12,Dakahlia,Bilqas,103 دقيقة
غرق مركبة,17:06,2023-04-28,Monufia,Shebin El Kom,102 دقيقة
عطل فني,16:45,2024-10-05,Port Said,Sharq,226 دقيقة
انقلاب مركبة,08:00,2022-06-21,Alexandria,Roushdy,117 دقيقة
تصادم سيارات,08:47,2023-01-31,Giza,Imbaba,204 دقيقة
ازدحام مروري,08:31,2024-06-19,Qalyubia,Khanka,132 دقيقة
غرق مركبة,17:14,2023-11-24,Minya,Maghaghah,66 دقيقة
تصادم سيارات,16:55,2023-12-27,Qalyubia,Shibin El Qanater,182 دقيقة
دهس مشاة,23:57,2022-03-01,Monufia,Quesna,133 دقيقة
حريق في السيارة,08:29,2024-07-20,Port Said,Manakh,235 دقيقة
ازدحام مروري,13:56,2024-03-20,Giza,Imbaba,45 دقيقة
غرق مركبة,16:49,2023-02-24,Giza,Imbaba,46 دقيقة
حادث دراجة نارية,08:46,2022-01-10,Giza,Dokki,13 دقيقة
تصادم مع حيوان,08:57,2023-12-08,Luxor,Esna,20 دقيقة
حادث دراجة نارية,16:55,2024-04-13,Giza,Faisal,220 دقيقة
عطل فني,17:50,2022-05-14,Port Said,Sharq,165 دقيقة
تصادم سيارات,08:00,2022-09-03,Beheira,Rashid,158 دقيقة
تصادم سيارات,02:23,2024-09-20,Giza,Agouza,104 دقيقة
تصادم سيارات,08:22,2022-11-19,Dakahlia,Bilqas,92 دقيقة
دهس مشاة,16:34,2023-09-11,Alexandria,Smouha,40 دقيقة
ازدحام مروري,19:04,2023-02-07,Sohag,Tahta,109 دقيقة
عطل فني,19:41,2024-05-30,Beheira,Edku,75 دقيقة
تصادم سيارات,18:41,2023-03-19,Luxor,Armant,119 دقيقة
تصادم مع حيوان,09:55,2022-10-12,Aswan,Kom Ombo,67 دقيقة
دهس مشاة,15:56,2024-07-02,Port Said,Manakh,106 دقيقة
انقلاب مركبة,10:33,2023-10-01,Giza,Imbaba,236 دقيقة
حريق في السيارة,09:32,2023-02-21,Giza,Agouza,192 دقيقة
حريق في السيارة,07:22,2024-04-15,Sohag,Sohag First,33 دقيقة
سقوط من ارتفاع,07:30,2023-12-05,Assiut,Dayrout,141 دقيقة
تصادم سيارات,01:17,2024-09-04,Giza,Dokki,160 دقيقة
دهس مشاة,04:34,2024-01-26,Sharqia,Bilbeis,72 دقيقة
غرق مركبة,07:24,2023-03-09,Cairo,Nasr City,143 دقيقة
سقوط من ارتفاع,09:30,2024-01-31,Port Said,Arab,63 دقيقة
غرق مركبة,10:05,2022-11-02,Giza,Dokki,180 دقيقة
تصادم مع حيوان,23:55,2023-08-03,Beheira,Rashid,162 دقيقة
حادث دراجة نارية,05:44,2023-04-05,Sharqia,Minya Al Qamh,43 دقيقة
تصادم سيارات,08:11,2024-12-22,Alexandria,Miami,85 دقيقة
عطل فني,08:03,2024-03-26,Port Said,Sharq,218 دقيقة
حادث دراجة نارية,07:44,2023-04-13,Dakahlia,Talkha,114 دقيقة
تصادم مع حيوان,07:25,2023-07-19,Luxor,Qurna,31 دقيقة
غرق مركبة,17:19,2023-08-06,Cairo,Zeitoun,34 دقيقة
حريق في السيارة,05:07,2024-02-27,Cairo,Zeitoun,238 دقيقة
عطل فني,08:03,2024-09-29,Sohag,Girga,189 دقيقة
غرق مركبة,07:49,2024-08-21,Cairo,Shubra,28 دقيقة
حريق في السيارة,19:28,2022-08-14,Port Said,Dawahi,77 دقيقة
تصادم سيارات,14:31,2024-11-19,Aswan,Nasr Nubia,85 دقيقة
غرق مركبة,17:59,2022-10-26,Assiut,Qusiya,158 دقيقة
غرق مركبة,07:31,2023-05-01,Assiut,Assiut First,130 دقيقة
غرق مركبة,03:57,2023-03-10,Ismailia,Sheikh Zayed,117 دقيقة
عطل فني,05:21,2024-10-14,Aswan,Nasr Nubia,162 دقيقة
انقلاب مركبة,22:48,2023-01-23,Sohag,Sohag First,58 دقيقة
سقوط من ارتفاع,19:12,2023-07-05,Aswan,Kom Ombo,159 دقيقة
غرق مركبة,15:58,2024-11-25,Aswan,Kom Ombo,128 دقيقة
غرق مركبة,01:23,2023-05-15,Assiut,Assiut First,131 دقيقة
حريق في السيارة,11:15,2023-04-08,Port Said,Sharq,188 دقيقة
عطل فني,17:28,2023-05-25,Monufia,Menouf,79 دقيقة
حادث دراجة نارية,11:10,2023-06-02,Qalyubia,Shibin El Qanater,75 دقيقة
تصادم سيارات,08:49,2022-07-12,Ismailia,Arbaeen,164 دقيقة
دهس مشاة,03:31,2022-05-01,Sohag,Sohag First,147 دقيقة
حريق في السيارة,16:32,2022-09-10,Qalyubia,Toukh,179 دقيقة
سقوط من ارتفاع,07:58,2022-12-12,Assiut,Qusiya,18 دقيقة
ازدحام مروري,23:08,2024-07-10,Beheira,Kafr El Dawar,111 دقيقة
ازدحام مروري,06:59,2024-11-07,Port Said,Arab,82 دقيقة
انقلاب مركبة,17:30,2023-08-04,Port Said,Dawahi,95 دقيقة
عطل فني,00:03,2022-08-16,Dakahlia,Talkha,234 دقيقة
حادث دراجة نارية,17:41,2022-02-14,Cairo,Shubra,120 دقيقة
تصادم سيارات,07:30,2022-07-18,Sharqia,Minya Al Qamh,223 دقيقة
دهس مشاة,09:12,2022-10-09,Sharqia,Zagazig,106 دقيقة
سقوط من ارتفاع,06:18,2023-02-07,Minya,Mallawi,55 دقيقة
عطل فني,22:25,2022-08-18,Aswan,Kom Ombo,41 دقيقة
ازدحام مروري,18:18,2022-07-16,Cairo,Shubra,154 دقيقة
تصادم سيارات,09:54,2024-10-13,Dakahlia,Talkha,90 دقيقة
غرق مركبة,03:31,2022-11-30,Sohag,Girga,101 دقيقة
حريق في السيارة,05:29,2024-06-27,Minya,Deir Mawas,174 دقيقة
غرق مركبة,05:40,2022-08-14,Alexandria,Glim,203 دقيقة
تصادم مع حيوان,21:32,2023-10-15,Ismailia,First District,81 دقيقة
انقلاب مركبة,22:48,2024-12-25,Dakahlia,Dikirnis,116 دقيقة
عطل فني,17:19,2022-05-28,Monufia,Bagour,88 دقيقة
حريق في السيارة,18:32,2022-03-16,Dakahlia,Talkha,166 دقيقة
تصادم سيارات,18:59,2023-06-15,Ismailia,Arbaeen,45 دقيقة
غرق مركبة,15:01,2022-08-10,Aswan,Nasr Nubia,236 دقيقة
عطل فني,09:12,2022-09-04,Cairo,Gesr El Suez,165 دقيقة
ازدحام مروري,07:40,2022-10-21,Port Said,Dawahi,172 دقيقة
غرق مركبة,08:10,2023-07-26,Cairo,Heliopolis,226 دقيقة
دهس مشاة,11:39,2022-07-04,Port Said,Dawahi,121 دقيقة
سقوط من ارتفاع,19:36,2022-10-12,Dakahlia,Bilqas,103 دقيقة
تصادم سيارات,18:53,2023-12-05,Alexandria,Montazah,18 دقيقة
انقلاب مركبة,18:17,2022-02-06,Assiut,Qusiya,122 دقيقة
سقوط من ارتفاع,23:13,2022-03-23,Sohag,Girga,141 دقيقة
غرق مركبة,22:44,2023-08-06,Alexandria,Sidi Gaber,156 دقيقة
تصادم مع حيوان,13:22,2023-11-07,Cairo,Zeitoun,232 دقيقة
حادث دراجة نارية,17:09,2024-08-09,Monufia,Berket El Sabaa,230 دقيقة
انقلاب مركبة,16:31,2022-01-18,Sharqia,Zagazig,213 دقيقة
حادث دراجة نارية,18:52,2023-03-16,Luxor,Qurna,81 دقيقة
حادث دراجة نارية,17:16,2022-11-28,Qalyubia,Shibin El Qanater,159 دقيقة
حادث دراجة نارية,19:20,2023-09-22,Assiut,Manfalout,41 دقيقة
غرق مركبة,02:28,2024-05-16,Alexandria,Glim,132 دقيقة
حادث دراجة نارية,07:09,2023-05-17,Cairo,Gesr El Suez,176 دقيقة
ازدحام مروري,01:20,2022-03-31,Port Said,Arab,141 دقيقة
حادث دراجة نارية,18:46,2022-05-16,Monufia,Quesna,100 دقيقة
تصادم مع حيوان,16:20,2023-12-06,Beheira,Edku,79 دقيقة
غرق مركبة,11:18,2022-07-31,Luxor,Qurna,150 دقيقة
انقلاب مركبة,17:16,2023-05-05,Ismailia,Arbaeen,203 دقيقة
حريق في السيارة,18:33,2024-09-22,Qalyubia,Khanka,123 دقيقة
